Employee Id ,Name,department,Position,gender,age,StartDate,ExitDate,EmployeeStatus,EmployeeType,EmployeeClassificationType,Current Employee Rating,EmployeeStatus_1,recruitment_channel,education,Attrition,Active Employees,Age Group,Rating Group
21190,Jacqueline Huerta,Sales & Marketing,Product Marketing Manager,m,30-01-1900,22-Sep-20,,Active,Part-Time,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
9751,Joseph Patton,Sales & Marketing,Digital Marketing Specialist,m,26-01-1900,10-Mar-21,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
8648,Bryan Sanchez,Sales & Marketing,Product Marketing Manager,m,11-02-1900,27-Aug-18,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
57036,Mark Hines DDS,Sales & Marketing,Regional Sales Manager,m,26-01-1900,12-Jul-20,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
30034,Jeffrey Johnston,Sales & Marketing,Regional Sales Manager,f,03-02-1900,28-Apr-20,,Active,Part-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
17133,Beth Anderson,Sales & Marketing,Customer Relationship Executive,f,28-01-1900,18-Jan-23,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
66566,Alec Hernandez,Sales & Marketing,Product Marketing Manager,f,18-02-1900,08-Sep-18,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,45-54,Average Performer
62916,Carla Cox,Sales & Marketing,Product Marketing Manager,m,11-02-1900,14-Nov-20,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,35-44,Average Performer
18809,John Alvarez,Sales & Marketing, Sales Executive / Representative,m,26-01-1900,10-Mar-21,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
52311,Danielle Jones,Sales & Marketing, Sales Executive / Representative,m,02-02-1900,24-Jan-19,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,25-34,Average Performer
39982,Joshua Vasquez,Sales & Marketing,Product Marketing Manager,f,18-02-1900,02-Jul-22,,Active,Full-Time,Temporary,3,Active,other,Master's & above,0,1,45-54,Average Performer
58769,Kristi Andrews,Sales & Marketing,Content Marketing Manager,m,27-01-1900,10-Jul-22,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
70168,John Smith,Sales & Marketing,Regional Sales Manager,m,11-02-1900,31-Mar-20,,Active,Full-Time,Part-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
22821,Keith Lyons,Sales & Marketing, Sales Executive / Representative,m,06-02-1900,26-Feb-19,,Active,Full-Time,Full-Time,3,Active,other,Master's & above,0,1,35-44,Average Performer
33400,Terry Henson,Sales & Marketing,Digital Marketing Specialist,m,25-01-1900,05-Aug-21,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
62107,David Moore,Sales & Marketing,Digital Marketing Specialist,m,06-02-1900,24-Sep-20,,Active,Contract,Full-Time,3,Active,other,Bachelor's,0,1,35-44,Average Performer
54888,Christopher Adams,Sales & Marketing,Product Marketing Manager,m,07-02-1900,14-Feb-19,,Active,Part-Time,Temporary,3,Active,other,Bachelor's,0,1,35-44,Average Performer
64742,Bradley Mitchell,Sales & Marketing,Content Marketing Manager,m,29-02-1900,23-Aug-22,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,55 Above,Average Performer
50458,Julie Griffin,Sales & Marketing,Customer Relationship Executive,m,03-02-1900,18-Dec-22,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
50405,Curtis Fitzpatrick,Sales & Marketing,Content Marketing Manager,m,21-02-1900,21-Mar-19,,Active,Part-Time,Part-Time,3,Active,other,Master's & above,0,1,45-54,Average Performer
46322,Jennifer Phillips,Sales & Marketing,Digital Marketing Specialist,m,03-02-1900,29-Oct-22,,Active,Contract,Part-Time,3,Active,other,Bachelor's,0,1,25-34,Average Performer
